game_date	home_team	home_shots	home_goals	away_team	away_shots	away_goals	final_period_num
2013-04-10	DAL	31	5	LAK	30	1	3
2013-04-10	NJD	28	4	BOS	18	5	3
2013-04-10	NYR	28	3	TOR	25	2	5
2013-04-11	CGY	41	1	VAN	29	4	3
2013-04-11	EDM	30	1	PHX	32	3	3
2013-04-11	ANA	22	1	COL	28	4	3
2013-04-11	BOS	31	1	NYI	36	2	3
2013-04-11	BUF	15	1	MTL	42	5	3
2013-04-11	PHI	25	1	OTT	34	3	3
2013-04-11	WSH	31	3	CAR	44	1	3
2013-04-11	TBL	19	3	PIT	41	6	3
2013-04-11	DET	29	2	SJS	30	3	5
2013-04-12	WPG	35	7	FLA	27	2	3
2013-04-12	MIN	23	0	STL	20	2	3
2013-04-12	LAK	37	3	COL	28	2	5
2013-04-12	NJD	33	0	OTT	11	2	3
2013-04-12	CBJ	19	4	STL	32	1	3
2013-04-13	NSH	28	2	DAL	18	5	3
2013-04-13	CHI	28	3	DET	29	2	5
2013-04-13	CGY	25	3	PHX	31	2	4
2013-04-13	BUF	21	1	PHI	29	0	3
2013-04-13	COL	26	4	VAN	27	3	3
2013-04-13	TOR	28	5	MTL	37	1	3
2013-04-13	NYI	29	0	NYR	20	1	4
2013-04-13	WSH	38	6	TBL	40	5	4
2013-04-13	CAR	38	4	BOS	30	2	3
2013-04-13	FLA	26	1	PIT	22	3	3
2013-04-14	MIN	41	2	CBJ	22	3	5
2013-04-14	DAL	19	2	SJS	32	1	3
2013-04-14	EDM	29	1	CGY	38	4	3
2013-04-14	LAK	18	2	ANA	20	1	3
2013-04-14	STL	30	0	CHI	26	2	3
2013-04-14	BUF	22	3	TBL	33	1	3
2013-04-14	NSH	22	0	DET	32	3	3
2013-04-28	BOS	36	2	OTT	22	4	3
2013-04-15	TOR	13	2	NJD	32	0	3
2013-04-15	MTL	28	3	PHI	33	7	3
2013-04-16	CHI	28	5	DAL	18	2	3
2013-04-16	NSH	38	2	VAN	24	5	3
2013-04-16	COL	32	3	CBJ	30	4	4
2013-04-16	CGY	23	3	MIN	27	4	3
2013-04-16	PHX	35	0	SJS	41	4	3
2013-04-16	NYI	31	5	FLA	28	2	3
2013-04-16	WSH	37	5	TOR	30	1	3
2013-04-16	OTT	34	3	CAR	34	2	3
2013-04-16	PHI	22	4	NYR	40	2	3
2013-04-17	WPG	36	4	TBL	27	3	5
2013-04-17	STL	36	2	VAN	22	1	5
2013-04-17	EDM	19	3	MIN	30	5	3
2013-04-17	SJS	35	3	LAK	43	2	5
2013-04-17	PIT	29	6	MTL	35	4	3
2013-04-17	BOS	43	2	BUF	32	3	5
2013-04-18	CGY	17	3	DET	38	2	3
2013-04-18	ANA	28	2	CBJ	28	3	4
2013-04-18	TOR	21	3	NYI	38	5	3
2013-04-18	NYR	30	6	FLA	35	1	3
2013-04-18	MTL	35	3	TBL	34	2	3
2013-04-18	OTT	38	3	WSH	19	1	3
2013-04-18	PHI	23	0	NJD	31	3	3
2013-04-19	WPG	31	4	CAR	27	3	4
2013-04-19	STL	30	2	PHX	34	1	5
2013-04-19	DAL	30	5	VAN	38	1	3
2013-04-19	LAK	23	2	CBJ	21	1	3
2013-04-19	SJS	29	6	MIN	28	1	3
2013-04-20	BOS	40	2	PIT	24	3	3
2013-04-19	BUF	28	4	NYR	29	8	3
2013-04-20	STL	20	2	DAL	22	1	3
2013-04-20	CHI	30	5	NSH	27	4	4
2013-04-20	COL	34	1	EDM	24	4	3
2013-04-20	CGY	31	3	ANA	33	1	3
2013-04-20	NJD	33	6	FLA	13	2	3
2013-04-20	WPG	28	4	NYI	33	5	5
2013-04-20	MTL	36	1	WSH	25	5	3
2013-04-20	OTT	50	1	TOR	22	4	3
2013-04-23	PIT	42	2	BUF	33	4	3
2013-04-20	CAR	29	3	PHI	38	5	3
2013-04-21	CHI	38	2	PHX	31	3	5
2013-04-21	VAN	14	2	DET	34	1	5
2013-04-21	BOS	39	3	FLA	28	0	3
2013-04-21	TBL	37	2	CAR	28	3	3
2013-04-21	MIN	35	1	CGY	24	4	3
2013-04-21	NYR	22	4	NJD	27	1	3
2013-04-22	COL	31	5	STL	32	3	3
2013-04-22	EDM	28	1	ANA	30	3	3
2013-04-22	SJS	35	3	CBJ	22	4	3
2013-04-22	LAK	31	4	DAL	27	3	4
2013-04-22	BUF	25	1	WPG	39	2	3
2013-04-22	OTT	35	1	PIT	24	3	3
2013-04-22	DET	23	4	PHX	34	0	3
2013-04-23	EDM	24	0	ANA	28	3	3
2013-04-23	VAN	32	3	CHI	25	1	3
2013-04-23	NJD	24	3	MTL	21	2	3
2013-04-23	WSH	41	5	WPG	27	3	3
2013-04-23	CAR	32	4	NYI	39	3	5
2013-04-23	PHI	30	5	BOS	41	2	3
2013-04-23	FLA	16	3	NYR	38	2	3
2013-04-24	STL	34	3	COL	18	1	3
2013-04-24	NSH	32	4	CGY	18	3	3
2013-04-24	MIN	25	2	LAK	23	1	3
2013-04-24	SJS	37	3	DAL	26	2	3
2013-04-24	TBL	26	5	TOR	28	2	3
2013-04-24	DET	36	3	LAK	24	1	3
2013-04-25	EDM	22	1	CHI	30	4	3
2013-04-25	PHX	32	2	SJS	34	1	3
2013-04-25	PHI	30	2	NYI	22	1	3
2013-04-25	WSH	20	1	OTT	41	2	4
2013-04-25	CAR	21	3	NYR	38	4	4
2013-04-25	NJD	32	3	PIT	18	2	3
2013-04-25	FLA	34	0	TOR	17	4	3
2013-04-25	DET	38	5	NSH	22	2	3
2013-04-26	WPG	25	2	MTL	30	4	3
2013-04-26	STL	20	4	CGY	19	1	3
2013-04-26	DAL	32	1	CBJ	35	3	3
2013-04-26	VAN	29	1	ANA	30	3	3
2013-04-26	BUF	22	2	NYI	31	1	5
2013-04-27	MIN	39	1	EDM	17	6	3
2013-04-27	CHI	38	3	CGY	26	1	3
2013-04-27	PHX	37	4	COL	28	5	5
2013-04-27	TOR	17	1	MTL	28	4	3
2013-04-27	OTT	44	1	PHI	25	2	3
2013-04-27	PIT	35	8	CAR	30	3	3
2013-04-27	WSH	37	3	BOS	34	2	4
2013-04-27	TBL	31	3	FLA	32	5	3
2013-04-27	CBJ	47	3	NSH	20	1	3
2013-04-27	NYR	21	4	NJD	20	0	3
2013-04-27	COL	30	1	MIN	33	3	3
2013-04-28	STL	28	3	CHI	23	1	3
2013-04-27	DAL	17	0	DET	37	3	3
2013-04-28	EDM	37	7	VAN	30	2	3
2013-04-28	ANA	46	3	PHX	31	5	3
2013-04-28	LAK	27	3	SJS	25	2	3
